"Structure No","ID_NEW","pKi","Smiles"
"70","CPDXA0070","8.568710716116463","CC(C)N(CC1)CCC1NC(c1nc(cc(cc2)C(O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"71","CPDXA0071","8.567581363655517","CC(C)N(CC1)CCC1NC(c1cc(c(C(N2CCOCC2)=O)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"72","CPDXA0072","8.565666027548763","CC(C)N(CC1)CCC1NC(c1cc(c(-c2nnc(O)[o]2)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"73","CPDXA0073","8.559090917934782","COC(c(cc(cc1)N(CCOC2)C2=O)c1NC(CCNC(c([s]1)ccc1Cl)=O)=O)=O"
"74","CPDXA0074","8.55467493862052","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OCCOCCO)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"75","CPDXA0075","8.548455006504028","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c2cccc1)c2F)=O"
"76","CPDXA0076","8.539104757170906","CC(C)N(CC1)CCC1NC(c1cc(cc(CO)cc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"77","CPDXA0077","8.537602002101043","CC(C)N(CC1)CCC1NC(c1nc(cc(cc2)OCc3n[nH]nn3)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"78","CPDXA0078","8.522878745280337","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)Cl)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"79","CPDXA0079","8.511485911186401","CC(C)N(CC1)CCC1NC(c1cc(c(C(OC(C)OC(C)=O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"80","CPDXA0080","8.508638306165727","CC(C)N(CC1)CCC1NC(c1nc(cccc2)c2[n]1CC(Nc(cc1)ccc1Cl)=O)=O"
"81","CPDXA0081","8.507484463655029","CC(C)N(CC1)CCC1NC(c([n]1Cc2n[o]c(-c([s]3)ccc3Cl)c2)c(C)nc1Br)=O"
"82","CPDXA0082","8.50649104303593","CC(C)N(CC1)CCC1NS(C(CNC(c([s]1)ccc1Cl)=O)CO)(=O)=O"
"83","CPDXA0083","8.50087033078815","CC(C)N(CC1)CCC1NC(c1cc(cccc2)c2[n]1CC(Nc(cc1)ccc1Br)=O)=O"
"84","CPDXA0084","8.484710257949944","CC(C)N(CC1)CCC1N(CC(N)=O)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"85","CPDXA0085","8.47755576649368","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OCCO)c2[n]1CC(Nc(cc1)ncc1Br)=O)=O"
"86","CPDXA0086","8.47507906364847","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(O3)=NNC3=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"87","CPDXA0087","8.471898340748723","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OCCOCCOC)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"88","CPDXA0088","8.469800301796917","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OC(C)(C)C(O)=O)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"89","CPDXA0089","8.464602544167544","Cc1c2[n](Cc3n[o]c(-c([s]4)ccc4Cl)c3)c(C(NC(CC3)CCN3C3CC3)=O)cc2cc(C(O)=O)c1"
"90","CPDXA0090","8.461576052793525","CC(C)N(CC1)CCC1NC(c1cc(c(C(OC(C)OC(OC)=O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"91","CPDXA0091","8.457190618864546","CCOCCOc1cccc2c1nc(C(NC(CC1)CCN1C(C)C)=O)[n]2CC(Nc(cc1)ncc1Cl)=O"
"92","CPDXA0092","8.455386670658138","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)NS(C)(=O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"93","CPDXA0093","8.453499401657625","CC(C)N(CC1)CCC1NC(c1nc(cc(cc2)C(OCCO)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"94","CPDXA0094","8.450996737974211","CCCNC(N(C(CC1)CCN1C(C)C)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O)=O"
"95","CPDXA0095","8.442291275500715","CC(C)N(CC1)CCC1N(CCCO)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"96","CPDXA0096","8.440187327794849","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(O3)=NNC3=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"97","CPDXA0097","8.440095022908888","CC(C)N(CC1)CCC1NC(c1nc(c(C(O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"98","CPDXA0098","8.437707135543524","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(N)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"99","CPDXA0099","8.436650258080043","Cc1c2[n](Cc3nnc(-c([s]4)ccc4Cl)[s]3)c(C(NC(CC3)CCN3C3CC3)=O)cc2cc(C(O)=O)c1"
"100","CPDXA0100","8.430626090384953","COC(C(CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc2cc3cnccc3[nH]2)C1=O)=O"
"101","CPDXA0101","8.428555097280478","CC(C)N(CC1)CCC1NC(c1cc(nccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"102","CPDXA0102","8.428316141817572","CC(C)N(CC1)CCC1NC(c1nc(c(OCCO)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"103","CPDXA0103","8.416094781563864","CC(C)N(CC1)CCC1NC(c1nc(c(C(OC)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"104","CPDXA0104","8.4089353929735","CC(C)(C)OC(N[C@H](CNC(c([s]1)ccc1Cl)=O)C(Nc(cc1)c(C(F)F)cc1N(CCOC1)C1=O)=O)=O"
"105","CPDXA0105","8.407823242604131","COC[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc2cc3cnccc3[nH]2)C1=O"
"106","CPDXA0106","8.407262920888357","CC(C)N(CC1)CCC1N(CCO)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"107","CPDXA0107","8.402304814074487","NC(c(cc1)cc(CN(CC[C@@H]2NS(c3cc(ccc(F)c4)c4[s]3)(=O)=O)C2=O)c1O)=N"
"108","CPDXA0108","8.398434581435273","CC(C)N(CC1)CCC1NC(c1nc(c(OCCOC)ccc2)c2[n]1CC(Nc(cc1)ncc1Br)=O)=O"
"109","CPDXA0109","8.397940008672036","CC(C)NC[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[nH]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O"
"110","CPDXA0110","8.397940008672036","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(O)=O)c2[n]1CC(Nc(cc1)ccc1Cl)=O)=O"
"111","CPDXA0111","8.397224602548837","OCc1cc(C(Nc(cc2)ccc2N(CCOC2)C2=O)=O)n[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1"
"112","CPDXA0112","8.396855627379818","COC(C(CN(C1)S(c2cc(ccc(Cl)c3)c3[nH]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O)=O"
"113","CPDXA0113","8.393188003291955","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OCCOC)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"114","CPDXA0114","8.390564266149724","CC(C)N(CC1)CCC1N(Cc1n[o]c(C)c1)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"115","CPDXA0115","8.382284904254718","CC(C)N(CC1)CCC1NC(c1cc(cccc2)c2[n]1CC(Nc(cc1)ccc1Cl)=O)=O"
"116","CPDXA0116","8.377785977033705","CC(C)N(CC1)CCC1NC(c1nc(c(OCCO)ccc2)c2[n]1CC(Nc(cc1)ncc1Br)=O)=O"
"117","CPDXA0117","8.374516906699126","CC(C)N(CC1)CCC1NC(c1c(C)c(Br)c(C)[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"118","CPDXA0118","8.371611069949688","O=C(C1)N(Cc2cc3cnccc3[nH]2)CCN1S(c1cc(cc(cc2)Cl)c2[nH]1)(=O)=O"
"119","CPDXA0119","8.370020389734654","NC(C(CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc2cc3cnccc3[nH]2)C1=O)=O"
"120","CPDXA0120","8.360098110002946","CC(C)N(CC1)CCC1N(CC(N(C)C)=O)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"121","CPDXA0121","8.352617029885378","CC(C)N(CC1)CCC1N(CCOC)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"122","CPDXA0122","8.351174448378408","CC(C)N(CC1)CCC1N(CC(N1CCOCC1)=O)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"123","CPDXA0123","8.347754736113256","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(OCC(O)=O)=O)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"124","CPDXA0124","8.343416637586081","CC(C)N(CC1)CCC1N(CCOC)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"125","CPDXA0125","8.342944147142894","CC(C)N(CC1)CCC1N(CCCO)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"126","CPDXA0126","8.341988603342887","NC(c(cc1)cc(CN(CC[C@@H]2NS(c3cc(nccc4)c4[s]3)(=O)=O)C2=O)c1N)=N"
"127","CPDXA0127","8.335104851952979","Cc1c2[n](Cc3nnc(-c([s]4)ccc4Cl)[s]3)c(C(NC(CC3)CCN3C3CC3)=O)nc2cc(C(O)=O)c1"
"128","CPDXA0128","8.334608515186138","CC(C)N(CC1)CCC1NC(c1ccc(-c2ccccc2)[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"129","CPDXA0129","8.334073864033197","CCOCCOCCOc1cccc2c1nc(C(NC(CC1)CCN1C(C)C)=O)[n]2CC(Nc(cc1)ncc1Cl)=O"
"130","CPDXA0130","8.33106679567245","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c(Br)n1)c1Br)=O"
"131","CPDXA0131","8.32441987934258","CC(C)N(CC1)CCC1NC(c1nc2c(C(O)=O)[s]cc2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"132","CPDXA0132","8.321837893715944","CC(C)N(CC1)CCC1N(C)C(c1nc(c(OCCOC)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"133","CPDXA0133","8.320964014511848","CC(C)N(CC1)CCC1NC(c1cnc(C2CC2)[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"134","CPDXA0134","8.316201076514838","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)[N+]([O-])=O)c2[n]1CC(Nc(cc1)ccc1Cl)=O)=O"
"135","CPDXA0135","8.300162274132752","CC(C)N(CC1)CCC1NC(c1nc(C(CCC2)C(O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"136","CPDXA0136","8.297569463554474","C[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[nH]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O"
"137","CPDXA0137","8.29537844407021","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)OCC(O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"138","CPDXA0138","8.289073048374048","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C(OC)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"139","CPDXA0139","8.288259098088236","CC(C)N(CC1)CCC1NC(c1cc(c(C(N2CCOCC2)=O)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
